anchor,positive
"Let A and B be two n x n matrices over real numbers. Let rank(M) and det(M) denote the rank and determinant of a matrix M, respectively. Consider the following statements.
I. rank(AB) = rank(A) rank(B)
II. det(AB) = det(A) det(B)
III. rank(A + B) ≤ rank(A) + rank(B)
IV. det(A + B) ≤ det(A) + det(B)
Which of the above statements are TRUE?",CS - Engineering Mathematics: Linear Algebra - Properties of Rank and Determinant of Matrices
"Consider the Boolean function z(a, b, c) implemented by the given circuit. Which one of the following minterm lists represents the circuit given above?",CS - Digital Logic: Boolean Algebra and Logic Gates - Logic Circuit Analysis to SOP/Minterm form
"Consider three registers R1, R2, and R3 that store numbers in IEEE-754 single precision floating point format. Assume that R1 and R2 contain the values (in hexadecimal notation) 0x42200000 and 0xC1200000, respectively. If R3 = R1 / R2, what is the value stored in R3?",CS - Digital Logic: Number Systems and Representations - IEEE 754 Floating-Point Arithmetic
"A computer system with a word length of 32 bits has a 16 MB byte-addressable main memory and a 64 KB, 4-way set associative cache memory with a block size of 256 bytes. Consider the following four physical addresses represented in hexadecimal notation.
A1 = 0x42C8A4, A2 = 0x546888, A3 = 0x6A289C, A4 = 0x5E4880
Which one of the following is TRUE?",CS - Computer Organization and Architecture: Memory Hierarchy - Set-Associative Cache Address Translation
"Let G = (V, E) be a weighted undirected graph and let T be a Minimum Spanning Tree (MST) of G maintained using adjacency lists. Suppose a new weighted edge (u, v) is added to G. The worst case time complexity of determining if T is still an MST of the resultant graph is",CS - Algorithms: Graph Algorithms - Minimum Spanning Tree (MST) Update
"Consider the following languages.
L₁ = {wxyx | w, x, y ∈ (0+1)⁺}
L₂ = {xy | x, y ∈ (a+b)*, |x|=|y|, x≠y}
Which one of the following is TRUE?",CS - Theory of Computation: Regular and Context-Free Languages - Language Classification (Chomsky Hierarchy)
"Consider the productions A → PQ and A → XY. Each of the five non-terminals A, P, Q, X, and Y has two attributes: s is a synthesized attribute, and i is an inherited attribute. Consider the following rules.
Rule 1: P.i = A.i + 2, Q.i = P.i + A.i, and A.s = P.s + Q.s
Rule 2: X.i = A.i + Y.s and Y.i = X.s + A.i
Which one of the following is TRUE?",CS - Compiler Design: Syntax-Directed Translation - L-attributed and S-attributed Definitions
"Each of a set of n processes executes the following code using two semaphores a and b initialized to 1 and 0, respectively. Assume that count is a shared variable initialized to 0.
CODE SECTION P
wait(a); count=count+1; if (count==n) signal(b); signal(a); wait(b); signal(b);
CODE SECTION Q
What does the code achieve?",CS - Operating System: Concurrency and Synchronization - Semaphores and Barrier Synchronization
"Consider the following five disk access requests (request id, cylinder number): (P, 155), (Q, 85), (R, 110), (S, 30), (T, 115). Assume the head is at cylinder 100. The scheduler follows Shortest Seek Time First (SSTF). Which statement is FALSE?",CS - Operating System: Disk Scheduling - Shortest Seek Time First (SSTF) Algorithm
"Consider a relational table R that is in 3NF, but not in BCNF. Which one of the following statements is TRUE?",CS - Databases: Database Design and Normalization - Third Normal Form (3NF) and Boyce-Codd Normal Form (BCNF)
"Consider a schedule of transactions T₁ and T₂. Here, RX stands for ""Read(X)"" and WX stands for ""Write(X)"". Which one of the following schedules is conflict equivalent to the given schedule?",CS - Databases: Transactions and Concurrency Control - Conflict Equivalence and Serializability
"An organization requires IP addresses for its 1500 computers. The ISP serves requests from 202.61.0.0/17. The ISP wants to assign an address space that will minimize routing entries using route aggregation. Which of the following address spaces are potential candidates?
I. 202.61.84.0/21
II. 202.61.104.0/21
III. 202.61.64.0/21
IV. 202.61.144.0/21",CS - Computer Networks: Network Layer - Subnetting and Classless Inter-Domain Routing (CIDR)
Which one of the following predicate formulae is NOT logically valid? Note that W is a predicate formula without any free occurrence of x.,CS - Engineering Mathematics: Discrete Mathematics - Predicate Logic and Quantifiers
"Let G=(V,E) be a directed, weighted graph with weight function w: E→R. For some function f:V→R, for each edge (u,v)∈E, define w'(u,v) = w(u,v) + f(u) - f(v). Which option completes the sentence: 'The shortest paths in G under w are shortest paths under w' too, __________.'?",CS - Algorithms: Graph Algorithms - Shortest Path Properties (Johnson's Algorithm)
"In a balanced binary search tree with n elements, what is the worst case time complexity of reporting all elements in range [a, b]? Assume that the number of reported elements is k.",CS - Programming and Data Structures: Trees - Range Queries in Balanced Binary Search Trees
"The number of permutations of the characters in LILAC so that no character appears in its original position, if the two L's are indistinguishable, is __________.",CS - Engineering Mathematics: Discrete Mathematics - Combinatorics (Derangements with Repetitions)
"A non-pipelined processor operates at 2.5 GHz and takes 5 cycles per instruction. A 5-stage pipeline version operates at 2 GHz. Program mix: 30% memory, 60% ALU, 10% branch. Stalls: 5% of memory instructions cause 50 cycle stalls, 50% of branch instructions cause 2 cycle stalls. The speedup of the pipeline over non-pipelined processor is __________ (round off to 2 decimal places).",CS - Computer Organization and Architecture: Instruction Pipelining - Pipeline Performance and Speedup Calculation with Stalls
"A processor has 64 registers and uses 16-bit instruction format. It has I-type (opcode, reg, 4-bit immediate) and R-type (opcode, 2 regs) instructions. If there are 8 distinct I-type opcodes, the maximum number of distinct R-type opcodes is __________.",CS - Computer Organization and Architecture: Instruction Set Architecture - Instruction Format Design
"For n > 2, let a ∈ {0,1}ⁿ be a non-zero vector. Suppose that x is chosen uniformly at random from {0,1}ⁿ. Then, the probability that Σ aᵢxᵢ is an odd number is __________.",CS - Engineering Mathematics: Linear Algebra - Vector Spaces over Finite Fields and Probability
Consider the given C functions fun1 and fun2. The return value of fun2(5) is __________.,CS - Programming and Data Structures: Programming in C - Recursion and Static Variables
Which one of the following statements is NOT correct about the B+ tree data structure used for creating an index of a relational database table?,CS - Databases: File Structures and Indexing - Properties of B+ Trees
"Consider the processes P1, P2, P3, P4 with burst times 8, 7, 2, 4 respectively, arriving at time 0. For Round Robin (RR), time quantum is 4 ms and order is P1, P2, P3, P4. The absolute difference between the average turnaround times of Shortest Job First (SJF) and RR is __________ (round off to 2 decimal places).",CS - Operating System: CPU Scheduling - Comparison of SJF and Round Robin Scheduling
"Consider the language L = {x ∈ {a,b}* | number of a's in x is divisible by 2 but not divisible by 3}. The minimum number of states in a DFA that accepts L is __________.",CS - Theory of Computation: Regular Expressions and Finite Automata - DFA Design (Cross-Product Construction)
"Graph G is obtained by adding vertex s to K₃,₄ and making s adjacent to every vertex of K₃,₄. The minimum number of colours required to edge-colour G is __________.",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Edge Coloring and Vizing's Theorem)
"Consider a paging system with a 1-level page table and a TLB. Memory access time is 100 ns, TLB lookup is 20 ns. Page transfer time is 5000 ns. TLB hit ratio is 95%, page fault rate is 10%. For 20% of page faults, a dirty page is written back. TLB update time is negligible. The average memory access time in ns is __________ (round off to 1 decimal place).",CS - Operating System: Memory Management - Effective Memory Access Time with Paging and TLB
"A database uses a B+ tree for indexing on a disk with block size 4 KB. Search key is 12 bytes, pointer is 8 bytes. The database has 1 million records. The minimum number of disk accesses required to retrieve any record is __________.",CS - Databases: File Structures and Indexing - B+ Tree Height and Search Cost Calculation
"Consider a TCP connection with RTT=6ms, advertised window=50KB, slow-start threshold=32KB, MSS=2KB. Connection starts at t=0. The size of the congestion window (in KB) at time t+60ms after all acknowledgements are processed is __________.",CS - Computer Networks: Transport Layer - TCP Congestion Control (Slow Start and Congestion Avoidance)
"The expenditure on the project __________ as follows: equipment Rs.20 lakhs, salaries Rs.12 lakhs, and contingency Rs.3 lakhs.",General Aptitude: Verbal Ability - Vocabulary (Phrasal Verbs)
The search engine's business model __________ around the fulcrum of trust.,General Aptitude: Verbal Ability - Vocabulary and Context
Two cars start at the same time from the same location and go in the same direction. The speed of the first car is 50 km/h and the speed of the second car is 60 km/h. The number of hours it takes for the distance between the two cars to be 20 km is __________.,"General Aptitude: Numerical Ability - Speed, Time, and Distance (Relative Speed)"
"Ten friends planned to share equally the cost of buying a gift for their teacher. When two of them decided not to contribute, each of the other friends had to pay Rs 150 more. The cost of the gift was Rs. __________.",General Aptitude: Numerical Ability - Algebra (Word Problems)
A court is to a judge as __________ is to a teacher.,General Aptitude: Verbal Ability - Verbal Analogies
"The police arrested four criminals – P, Q, R and S. The criminals knew each other. They made the following statements:
P says “Q committed the crime.”
Q says ""S committed the crime.""
R says ""I did not do it.""
S says ""What Q said about me is false.""
Assume only one of the arrested four committed the crime and only one of the statements made above is true. Who committed the crime?",General Aptitude: Verbal Ability - Logical Deduction (Truth-tellers and Liars)
"In the given diagram, teachers are represented in the triangle, researchers in the circle and administrators in the rectangle. Out of the total number of the people, the percentage of administrators shall be in the range of __________.",General Aptitude: Numerical Ability - Data Interpretation (Venn Diagrams)
"“A recent High Court judgement has sought to dispel the idea of begging as a disease — which leads to its stigmatization and criminalization — and to regard it as a symptom. The underlying disease is the failure of the state to protect citizens who fall through the social security net.”
Which one of the following statements can be inferred from the given passage?",General Aptitude: Verbal Ability - Reading Comprehension
"In a college, there are three student clubs. Sixty students are only in the Drama club, 80 students are only in the Dance club, 30 students are only in the Maths club, 40 students are in both Drama and Dance clubs, 12 students are in both Dance and Maths clubs, 7 students are in both Drama and Maths clubs, and 2 students are in all the clubs. If 75% of the students in the college are not in any of these clubs, then the total number of students in the college is __________.",General Aptitude: Numerical Ability - Set Theory and Venn Diagrams
"Three of the five students allocated to a hostel put in special requests to the warden. Given the floor plan of the vacant rooms, select the allocation plan that will accommodate all their requests.
Request by X: Due to pollen allergy, I want to avoid a wing next to the garden.
Request by Y: I want to live as far from the washrooms as possible, since I am very sensitive to smell.
Request by Z: I believe in Vaastu and so want to stay in the South-west wing.
The shaded rooms are already occupied. WR is washroom.",General Aptitude: Verbal Ability - Analytical Reasoning
A certain processor uses a fully associative cache of size 16 kB. The cache block size is 16 bytes. Assume that the main memory is byte addressable and uses a 32-bit address. How many bits are required for the Tag and the Index fields respectively in the addresses generated by the processor?,CS - Computer Organization and Architecture: Memory Hierarchy - Fully Associative Cache Address Translation
The chip select logic for a certain DRAM chip in a memory system design is shown below. Assume that the memory system has 16 address lines denoted by A15 to A0. What is the range of addresses (in hexadecimal) of the memory system that can get enabled by the chip select (CS) signal?,CS - Computer Organization and Architecture: Memory Hierarchy - Memory Interfacing and Address Decoding
Which one of the following kinds of derivation is used by LR parsers?,CS - Compiler Design: Parsing - LR Parsers and Rightmost Derivation
"In 16-bit 2's complement representation, the decimal number −28 is:",CS - Digital Logic: Number Systems and Representations - 2's Complement Representation
"Let U = {1,2, ..., n}. Let A = {(x,X)|x ∈ X, X ⊆ U}. Consider the following two statements on |A|.
I. |A| = n2ⁿ⁻¹
II. |A| = Σₖ₌₁ᵏ(nCk)
Which of the above statements is/are TRUE?",CS - Engineering Mathematics: Discrete Mathematics - Combinatorics and Binomial Identities
Which one of the following is NOT a valid identity?,CS - Digital Logic: Boolean Algebra and Logic Gates - Boolean Identities and XOR Properties
"If L is a regular language over Σ = {a,b}, which one of the following languages is NOT regular?",CS - Theory of Computation: Regular and Context-Free Languages - Closure Properties of Regular Languages
"Consider Z = X – Y, where X, Y and Z are all in sign-magnitude form. X and Y are each represented in n bits. To avoid overflow, the representation of Z would require a minimum of:",CS - Digital Logic: Number Systems and Representations - Sign-Magnitude Arithmetic and Overflow
"Let X be a square matrix. Consider the following two statements on X.
I. X is invertible.
II. Determinant of X is non-zero.
Which one of the following is TRUE?",CS - Engineering Mathematics: Linear Algebra - Properties of Invertible Matrices
"Let G be an arbitrary group. Consider the following relations on G:
R₁: ∀a, b ∈ G, a R₁b if and only if ∃g ∈ G such that a = g⁻¹bg
R₂: ∀a, b ∈ G, a R₂b if and only if a = b⁻¹
Which of the above is/are equivalence relation/relations?",CS - Engineering Mathematics: Discrete Mathematics - Group Theory and Equivalence Relations (Conjugacy)
"Consider the following two statements about database transaction schedules:
I. Strict two-phase locking protocol generates conflict serializable schedules that are also recoverable.
II. Timestamp-ordering concurrency control protocol with Thomas' Write Rule can generate view serializable schedules that are not conflict serializable.
Which of the above statements is/are TRUE?","CS - Databases: Transactions and Concurrency Control - 2PL, Timestamp Ordering, and Serializability"
"Let G be an undirected complete graph on n vertices, where n > 2. Then, the number of different Hamiltonian cycles in G is equal to",CS - Engineering Mathematics: Discrete Mathematics - Graph Theory (Hamiltonian Cycles in Complete Graphs)
Compute lim (x→3) (x⁴ - 81) / (2x² - 5x - 3),CS - Engineering Mathematics: Calculus - Limits and L'Hôpital's Rule
Which one of the following grammars is free from left recursion?,CS - Compiler Design: Syntax Analysis - Left Recursion
"For Σ = {a,b}, let us consider the regular language L = {x | x = a²⁺³ᵏ or x = b¹⁰⁺¹²ᵏ, k ≥ 0}. Which one of the following can be a pumping length (the constant guaranteed by the pumping lemma) for L?",CS - Theory of Computation: Regular Expressions and Finite Automata - Pumping Lemma for Regular Languages
Which of the following protocol pairs can be used to send and retrieve e-mails (in that order)?,"CS - Computer Networks: Application Layer - Email Protocols (SMTP, POP3, IMAP)"
"The following C program is executed on a Unix/Linux system:
#include <unistd.h>
int main() {
  int i;
  for (i=0; i<10; i++)
    if (i%2 == 0) fork();
  return 0;
}
The total number of child processes created is __________.",CS - Operating System: Processes and Threads - Process Creation (fork() system call)
"Consider the following C program:
#include <stdio.h>
int jumble(int x, int y) { x=2*x+y; return x; }
int main() { int x=2, y=5; y=jumble(y,x); x=jumble(y,x); printf(""%d \n"", x); return 0; }
The value printed by the program is __________.",CS - Programming and Data Structures: Programming in C - Functions and Call by Value
"Consider the grammar: S → Aa, A → BD, B → b|ε, D → d|ε. Let a, b, d, and $ be indexed 3, 2, 1, 0 respectively. Compute the FOLLOW set of the non-terminal B and write the index values for the symbols in descending order.",CS - Compiler Design: Parsing - FIRST and FOLLOW Sets
An array of 25 distinct elements is to be sorted using quicksort. Assume that the pivot element is chosen uniformly at random. The probability that the pivot element gets placed in the worst possible location in the first round of partitioning (rounded off to 2 decimal places) is __________.,CS - Algorithms: Sorting - Quicksort Analysis and Probability
The value of 3⁵¹ mod 5 is __________.,CS - Engineering Mathematics: Discrete Mathematics - Number Theory (Modular Arithmetic and Fermat's Little Theorem)
"Two numbers are chosen independently and uniformly at random from the set {1, 2, ..., 13}. The probability (rounded off to 3 decimal places) that their 4-bit (unsigned) binary representations have the same most significant bit is __________.",CS - Engineering Mathematics: Probability and Statistics - Probability and Number Representation
"Consider three concurrent processes P1, P2 and P3 which access a shared variable D initialized to 100.
P1: D = D + 20
P2: D = D - 50
P3: D = D + 10
The processes are executed on a uniprocessor system running a time-shared OS. If the minimum and maximum possible values of D after completion are X and Y, then Y – X is __________.",CS - Operating System: Concurrency and Synchronization - Race Conditions
"Consider the following C program:
#include <stdio.h>
int main(){
  int arr[]={1,2,3,4,5,6,7,8,9,0,1,2,5}, *ip=arr+4;
  printf(""%d\n"", ip[1]);
  return 0;
}
The number that will be displayed on execution of the program is __________.",CS - Programming and Data Structures: Programming in C - Pointer Arithmetic and Array Indexing
"Consider a sequence of 14 elements: A = [−5, -10, 6, 3, -1, -2, 13, 4, -9, -1, 4, 12, -3, 0]. Determine the maximum of the subsequence sum S(i,j) = Σₖ₌ᵢʲ A[k], where 0 ≤ i ≤ j < 14.",CS - Algorithms: Algorithm Design Techniques - Maximum Subarray Sum (Kadane's Algorithm)
Consider the C function `void convert(int n)`. Which one of the following will happen when the function is called with any positive integer n as argument?,CS - Programming and Data Structures: Programming in C - Recursion (Infinite Recursion)
"Consider the following C program:
#include <stdio.h>
int r() { static int num=7; return num--; }
int main() { for (r();r();r()) printf(""%d"",r()); return 0; }
Which one of the following values will be displayed on execution of the program?",CS - Programming and Data Structures: Programming in C - Static Variables and for loop execution sequence
"Consider three machines M, N, and P with IP addresses 100.10.5.2, 100.10.5.5, and 100.10.5.6 respectively. The subnet mask is set to 255.255.255.252 for all three machines. Which one of the following is true?",CS - Computer Networks: Network Layer - Subnetting
"Suppose that in an IP-over-Ethernet network, a machine X wishes to find the MAC address of another machine Y in its subnet. Which one of the following techniques can be used for this?",CS - Computer Networks: Network Layer - Address Resolution Protocol (ARP)
"Consider three 4-variable functions f₁, f₂, and f₃, expressed in sum-of-minterms as f₁=Σ(0,2,5,8,14), f₂=Σ(2,3,6,8,14,15), f₃=Σ(2,7,11,14). For the given circuit with one AND gate and one XOR gate, the output function f can be expressed as:",CS - Digital Logic: Boolean Algebra and Logic Gates - Boolean Function Manipulation with Minterms
"Which one of the following languages over Σ = {a,b} is NOT context-free?",CS - Theory of Computation: Context-Free Grammars and Push-Down Automata - Pumping Lemma for Context-Free Languages
"Let the set of functional dependencies F = {QR → S, R → P, S → Q} hold on a relation schema X = (PQRS). X is not in BCNF. Suppose X is decomposed into two schemas Y = (PR) and Z = (QRS). Consider the two statements:
I. Both Y and Z are in BCNF
II. Decomposition of X into Y and Z is dependency preserving and lossless
Which of the above statements is/are correct?","CS - Databases: Database Design and Normalization - BCNF, Dependency Preservation, and Lossless Decomposition"
"Assume that in a certain computer, virtual addresses are 64 bits long and physical addresses are 48 bits long. The memory is word addressible. Page size is 8 kB and word size is 4 bytes. The TLB has 128 valid entries. At most how many distinct virtual addresses can be translated without any TLB miss?",CS - Operating System: Memory Management - Translation Lookaside Buffer (TLB)
"Consider the following sets:
S1. Set of all recursively enumerable languages over {0,1}
S2. Set of all syntactically valid C programs
S3. Set of all languages over {0,1}
S4. Set of all non-regular languages over {0,1}
Which of the above sets are uncountable?",CS - Theory of Computation: Turing Machines and Undecidability - Countability of Languages and Programs
"Consider the first order predicate formula φ: ∀x [(∀z z|x ⇒ ((z = x) ∨ (z = 1))) ⇒ ∃w (w > x) ∧ (∀z z|w ⇒ ((w = z) ∨ (z = 1)))]. Here ‘a|b’ denotes ‘a divides b’. The formula states that for every prime number, there exists a larger prime number. Consider the sets:
S1. {1,2,3, ..., 100}
S2. Set of all positive integers
S3. Set of all integers
Which sets satisfy φ?",CS - Engineering Mathematics: Discrete Mathematics - Predicate Logic and Number Theory
"Consider the grammar and semantic actions to support inherited type declaration attributes. Let X₁, X₂, X₃, X₄, X₅, and X₆ be placeholders. Which are the appropriate choices for X₁, X₂, X₃ and X₄?",CS - Compiler Design: Syntax-Directed Translation - Inherited Attributes
"There are n unsorted arrays: A₁, A₂, ..., Aₙ. Assume n is odd. Each array contains n distinct elements. There are no common elements between any two arrays. The worst-case time complexity of computing the median of the medians of A₁, A₂, ..., Aₙ is",CS - Algorithms: Algorithm Analysis - Median of Medians Algorithm Analysis
"Let G be any connected, weighted, undirected graph.
I. G has a unique minimum spanning tree, if no two edges of G have the same weight.
II. G has a unique minimum spanning tree, if, for every cut of G, there is a unique minimum-weight edge crossing the cut.
Which of the above two statements is/are TRUE?",CS - Algorithms: Graph Algorithms - Uniqueness of Minimum Spanning Tree (MST)
Consider a system with n concurrent processes. Process i holds Xᵢ instances of resource R. All instances are in use. Process i can request at most Yᵢ additional instances. Exactly two processes p and q have Yₚ = Y₀ = 0. Which condition guarantees that no other process apart from p and q can complete execution?,CS - Operating System: Deadlock - Deadlock Avoidance and Safe State Conditions
"Consider the following statements:
I. The smallest element in a max-heap is always at a leaf node
II. The second largest element in a max-heap is always a child of the root node
III. A max-heap can be constructed from a binary search tree in O(n) time
IV. A binary search tree can be constructed from a max-heap in O(n) time
Which of the above statements are TRUE?",CS - Programming and Data Structures: Heaps - Properties of Max-Heaps and Conversions
"Consider four processes with arrival times and CPU bursts as shown. They run on a single processor using preemptive Shortest Remaining Time First (SRTF). If the average waiting time is 1 millisecond, then the value of Z is __________.",CS - Operating System: CPU Scheduling - Shortest Remaining Time First (SRTF) Scheduling
The number of states in the minimal deterministic finite automaton corresponding to the regular expression (0+1)*(10) is __________.,CS - Theory of Computation: Finite Automata - Minimal DFA
"The inode of a Unix-like file system has 12 direct, one single-indirect and one double-indirect pointers. The disk block size is 4 kB, and the disk block address is 32-bits long. The maximum possible file size is __________ GB (rounded off to 1 decimal place).",CS - Operating System: File Systems - inode structure and File Size Calculation
"Consider the augmented grammar: S' → S, S → (L) | id, L → L,S | S. Let I₀ = CLOSURE ({[S' → •S]}). The number of items in the set GOTO(I₀, () is: __________.",CS - Compiler Design: Parsing - LR(0) or SLR(1) Item Set Construction (CLOSURE and GOTO)
Consider the given 4x4 matrix R. The absolute value of the product of Eigen values of R is __________.,CS - Engineering Mathematics: Linear Algebra - Eigenvalues and Determinants
"A processor has a single-level cache. Block size is 8 words, word size is 4 bytes. Memory uses a 60-MHz clock. A cache miss takes 1 cycle to accept the address, 3 cycles to fetch the block, and then transmits 1 word/cycle. The maximum memory bandwidth for a series of read operations is __________ × 10⁶ bytes/sec.",CS - Computer Organization and Architecture: Memory Hierarchy - Memory Bandwidth Calculation
Let T be a full binary tree with 8 leaves. Suppose two leaves a and b of T are chosen uniformly and independently at random. The expected value of the distance between a and b in T is __________ (rounded off to 2 decimal places).,CS - Engineering Mathematics: Probability and Statistics - Expected Value on Trees
"Suppose Y is distributed uniformly in the open interval (1,6). The probability that the polynomial 3x² + 6xY + 3Y + 6 has only real roots is __________ (rounded off to 1 decimal place).",CS - Engineering Mathematics: Probability and Statistics - Continuous Probability and Quadratic Equations
"Let Σ be the set of all bijections from {1,...,5} to {1,...,5}. For a string x = x₁x₂...xₙ ∈ Σⁿ, let π(x) = x₁∘x₂∘...∘xₙ. Consider L = {x ∈ Σ* | π(x) = id}. The minimum number of states in any DFA accepting L is __________.",CS - Theory of Computation: Regular Expressions and Finite Automata - DFA Design and Group Theory
Consider that 15 machines need to be connected in a LAN using 8-port Ethernet switches. Assume that these switches do not have any separate uplink ports. The minimum number of switches needed is __________.,CS - Computer Networks: LAN Technologies - Network Design with Switches
"What is the minimum number of 2-input NOR gates required to implement a 4-variable function f = Σ(0, 2, 5, 7, 8, 10, 13, 15)? Assume inputs and their complements are available. Answer: __________.",CS - Digital Logic: Boolean Algebra and Logic Gates - Logic Gate Implementation
"A relational database contains two tables Student and Performance. Consider the SQL query: SELECT S.Student_name, sum(P.Marks) FROM Student S, Performance P WHERE P.Marks > 84 GROUP BY S.Student_name; The number of rows returned by the query is __________.",CS - Databases: SQL - SQL Query with GROUP BY and Aggregation (Implicit Join)
"Consider the following C program:
#include <stdio.h>
int main(){
  float sum = 0.0, j = 1.0, i = 2.0;
  while (i/j > 0.0625){
    j = j + j;
    sum = sum + i/j;
    printf(""%f\n"", sum);
  }
  return 0;
}
The number of times the variable sum will be printed is __________.",CS - Programming and Data Structures: Programming in C - Control Flow (while loop)
"Consider the following C program:
#include <stdio.h>
int main(){
  int a[] = {2, 4, 6, 8, 10};
  int i, sum = 0, *b = a + 4;
  for (i = 0; i < 5; i++)
    sum = sum + (*b - i) - *(b - i);
  printf(""%d\n"", sum);
  return 0;
}
The output of the above C program is __________.",CS - Programming and Data Structures: Programming in C - Pointer Arithmetic and Array Indexing
"In an RSA cryptosystem, the value of the public modulus parameter n is 3007. If it is also known that φ(n) = 2880, where φ() denotes Euler's Totient Function, then the prime factor of n which is greater than 50 is __________.",CS - Engineering Mathematics: Discrete Mathematics - Number Theory and Cryptography (RSA)
"Consider the relations P(X,Y,Z), Q(X,Y,T) and R(Y,V). How many tuples will be returned by the following relational algebra query?
Πₓ(σ(P.Y=R.Y ∧ R.V=V2)(P × R)) − Πₓ(σ(Q.Y=R.Y ∧ Q.T>2)(Q × R))","CS - Databases: Relational Model - Relational Algebra (Set Difference, Join, Selection, Projection)"
"The statement (¬p) ⇒ (¬q) is logically equivalent to which of the statements below?
I. p ⇒ q
II. q ⇒ p
III. (¬q) ∨ p
IV. (¬p) ∨ q",CS - Engineering Mathematics: Mathematical Logic - Propositional Logic and Equivalence
"Consider the first-order logic sentence F: ∀x(∃y R(x,y)). Assuming non-empty logical domains, which of the sentences below are implied by F?
I. ∃y(∃x R(x,y))
II. ∃y(∀x R(x,y))
III. ∀y(∃x R(x,y))
IV. ¬∃x(∀y ¬R(x,y))",CS - Engineering Mathematics: Mathematical Logic - First-Order Logic and Quantifiers
"Let c₁, ..., cₙ be scalars, not all zero, such that Σᵢ₌₁ⁿ cᵢaᵢ = 0 where aᵢ are column vectors in Rⁿ. Consider the set of linear equations Ax = b where A = [a₁, ..., aₙ] and b = Σᵢ₌₁ⁿ aᵢ. The set of equations has",CS - Engineering Mathematics: Linear Algebra - System of Linear Equations
"Consider the following functions from positive integers to real numbers: 10, √n, n, log₂n, 100/n. The CORRECT arrangement of the above functions in increasing order of asymptotic complexity is:",CS - Algorithms: Asymptotic Analysis - Growth of Functions
"Consider the following table:
Algorithms
(P) Kruskal
(Q) Quicksort
(R) Floyd-Warshall
Design Paradigms
(i) Divide and Conquer
(ii) Greedy
(iii) Dynamic Programming
Match the algorithms to the design paradigms they are based on.","CS - Algorithms: Algorithm Design Paradigms - Greedy, Divide and Conquer, Dynamic Programming"
Let T be a binary search tree with 15 nodes. The minimum and maximum possible heights of T are: Note: The height of a tree with a single node is 0.,CS - Programming and Data Structures: Data Structures - Binary Search Trees
The n-bit fixed-point representation of an unsigned real number X uses f bits for the fraction part. Let i = n - f. The range of decimal values for X in this representation is,CS - Digital Logic: Data Representation - Fixed-Point Representation
"Consider the C code fragment given below.
typedef struct node {
  int data;
  node* next;
} node;
void join(node* m, node* n) {
  node* p = n;
  while (p->next != NULL) {
    p = p->next;
  }
  p->next = m;
}
Assuming that m and n point to valid NULL-terminated linked lists, invocation of join will",CS - Programming and Data Structures: Data Structures - Linked Lists
"When two 8-bit numbers A₇...A₀ and B₇...B₀ in 2's complement representation (with A₀ and B₀ as the least significant bits) are added using a ripple-carry adder, the sum bits obtained are S₇...S₀ and the carry bits are C₇...C₀. An overflow is said to have occurred if",CS - Digital Logic: Computer Arithmetic - 2's Complement and Overflow
"Consider the following context-free grammar over the alphabet Σ = {a, b, c} with S as the start symbol:
S → abScT | abcT
T → bT | b
Which one of the following represents the language generated by the above grammar?",CS - Theory of Computation: Context-Free Grammars - Language generated by a CFG
"Consider the C struct defined below:
struct data {
  int marks[100];
  char grade;
  int cnumber;
};
struct data student;
The base address of student is available in register R1. The field student.grade can be accessed efficiently using",CS - Computer Organization and Architecture: Instruction Set Architecture - Addressing Modes
"Consider the following intermediate program in three address code
p = a - b
q = p * c
p = u * v
q = p + q
Which one of the following corresponds to a static single assignment form of the above code?",CS - Compiler Design: Intermediate Code Generation - Static Single Assignment (SSA)
"Consider the following C code:
#include <stdio.h>
int *assignval(int *x, int val) {
  *x = val;
  return x;
}
void main() {
  int *x = malloc(sizeof(int));
  if (NULL == x) return;
  x = assignval(x, 0);
  if (x) {
    x = (int *)malloc(sizeof(int));
    if (NULL == x) return;
    x = assignval(x, 10);
  }
  printf(""%d\n"", *x);
  free(x);
}
The code suffers from which one of the following problems:",CS - Programming and Data Structures: Programming in C - Dynamic Memory Allocation and Memory Leaks
"Consider a TCP client and a TCP server running on two different machines. After completing data transfer, the TCP client calls close to terminate the connection and a FIN segment is sent to the TCP server. Server-side TCP responds by sending an ACK, which is received by the client-side TCP. As per the TCP connection state diagram (RFC 793), in which state does the client-side TCP connection wait for the FIN from the server-side TCP?",CS - Computer Networks: TCP - Connection Management
"A sender S sends a message m to receiver R, which is digitally signed by S with its private key. In this scenario, one or more of the following security violations can take place.
(I) S can launch a birthday attack to replace m with a fraudulent message.
(II) A third party attacker can launch a birthday attack to replace m with a fraudulent message.
(III) R can launch a birthday attack to replace m with a fraudulent message.
Which of the following are possible security violations?",CS - Computer Networks: Network Security - Digital Signatures and Cryptographic Attacks
"The following functional dependencies hold true for the relational schema R{V, W, X, Y, Z}:
V → W
VW → X
Y → VX
Y → Z
Which of the following is an irreducible equivalent for this set of functional dependencies?",CS - Databases: Functional Dependencies - Minimal Cover
"Consider the following grammar:
P → xQRS
Q → yz | z
R → w | ε
S → y
What is FOLLOW(Q)?",CS - Compiler Design: Syntax Analysis - FIRST and FOLLOW sets
Threads of a process share,CS - Operating Systems: Processes and Threads - Thread Memory Model
